YoDi;WoDi;nb;cnb;Vcnb
2008;1;1295;1295;0
2008;2;1258;1258;0
2008;3;1214;1214;0
2008;4;1225;1225;0
2008;5;1158;1158;0
2008;6;1131;1131;0
2008;7;1121;1121;0
2008;8;1146;1146;0
2008;9;1092;1092;0
2008;10;1092;1092;0
2008;11;1091;1091;0
2008;12;1116;1116;0
2008;13;1112;1112;0
2008;14;1106;1106;0
2008;15;1082;1082;0
2008;16;1075;1075;0
2008;17;1041;1041;0
2008;18;1099;1099;0
2008;19;1065;1065;0
2008;20;1036;1036;0
2008;21;1014;1014;0
2008;22;1151;1151;0
2008;23;1060;1060;0
2008;24;1032;1032;0
2008;25;1023;1023;0
2008;26;995;995;0
2008;27;1047;1047;0
2008;28;988;988;0
2008;29;1011;1011;0
2008;30;988;988;0
2008;31;1028;1028;0
2008;32;993;993;0
2008;33;932;932;0
2008;34;1014;1014;0
2008;35;929;929;0
2008;36;978;978;0
2008;37;984;984;0
2008;38;1061;1061;0
2008;39;1064;1064;0
2008;40;1082;1082;0
2008;41;1045;1045;0
2008;42;1072;1072;0
2008;43;1032;1032;0
2008;44;1040;1040;0
2008;45;1075;1075;0
2008;46;1067;1067;0
2008;47;1056;1056;0
2008;48;1050;1050;0
2008;49;1127;1127;0
2008;50;1157;1157;0
2008;51;1246;1246;0
2008;52;1223;1223;0
2009;1;1308;1308;0
2009;2;1339;1339;0
2009;3;1342;1342;0
2009;4;1407;1407;0
2009;5;1265;1265;0
2009;6;1290;1290;0
2009;7;1221;1221;0
2009;8;1255;1255;0
2009;9;1176;1176;0
2009;10;1195;1195;0
2009;11;1133;1133;0
2009;12;1123;1123;0
2009;13;1149;1149;0
2009;14;1126;1126;0
2009;15;1104;1104;0
2009;16;1050;1050;0
2009;17;1046;1046;0
2009;18;1086;1086;0
2009;19;996;996;0
2009;20;1094;1094;0
2009;21;1004;1004;0
2009;22;1014;1014;0
2009;23;1003;1003;0
2009;24;969;969;0
2009;25;1023;1023;0
2009;26;1024;1024;0
2009;27;1071;1071;0
2009;28;939;939;0
2009;29;1068;1068;0
2009;30;1015;1015;0
2009;31;994;994;0
2009;32;1003;1003;0
2009;33;980;980;0
2009;34;985;985;0
2009;35;974;974;0
2009;36;995;995;0
2009;37;1025;1025;0
2009;38;958;958;0
2009;39;965;965;0
2009;40;1039;1039;0
2009;41;990;990;0
2009;42;982;982;0
2009;43;1077;1077;0
2009;44;1075;1075;0
2009;45;1073;1073;0
2009;46;1055;1055;0
2009;47;1128;1128;0
2009;48;1050;1050;0
2009;49;1108;1108;0
2009;50;1112;1112;0
2009;51;1102;1102;0
2009;52;1139;1139;0
2009;53;1158;1158;0
2010;1;1209;1209;0
2010;2;1180;1180;0
2010;3;1170;1170;0
2010;4;1086;1086;0
2010;5;1138;1138;0
2010;6;1160;1160;0
2010;7;1185;1185;0
2010;8;1224;1224;0
2010;9;1212;1212;0
2010;10;1170;1170;0
2010;11;1100;1100;0
2010;12;1126;1126;0
2010;13;1085;1085;0
2010;14;1122;1122;0
2010;15;1137;1137;0
2010;16;1110;1110;0
2010;17;1055;1055;0
2010;18;1075;1075;0
2010;19;1051;1051;0
2010;20;1112;1112;0
2010;21;1009;1009;0
2010;22;953;953;0
2010;23;991;991;0
2010;24;1008;1008;0
2010;25;1020;1020;0
2010;26;1131;1131;0
2010;27;998;998;0
2010;28;1025;1025;0
2010;29;1019;1019;0
2010;30;1018;1018;0
2010;31;1015;1015;0
2010;32;1043;1043;0
2010;33;995;995;0
2010;34;1018;1018;0
2010;35;980;980;0
2010;36;1039;1039;0
2010;37;1029;1029;0
2010;38;1083;1083;0
2010;39;983;983;0
2010;40;1008;1008;0
2010;41;1045;1045;0
2010;42;1111;1111;0
2010;43;1046;1046;0
2010;44;1045;1045;0
2010;45;1056;1056;0
2010;46;978;978;0
2010;47;1078;1078;0
2010;48;1138;1138;0
2010;49;1154;1154;0
2010;50;1145;1145;0
2010;51;1189;1189;0
2010;52;1171;1171;0
2011;1;1282;1282;0
2011;2;1133;1133;0
2011;3;1136;1136;0
2011;4;1114;1114;0
2011;5;1106;1106;0
2011;6;1094;1094;0
2011;7;1161;1161;0
2011;8;1085;1085;0
2011;9;1150;1150;0
2011;10;1134;1134;0
2011;11;1112;1112;0
2011;12;1034;1034;0
2011;13;1117;1117;0
2011;14;1048;1048;0
2011;15;979;979;0
2011;16;988;988;0
2011;17;1041;1041;0
2011;18;1064;1064;0
2011;19;1051;1051;0
2011;20;984;984;0
2011;21;1007;1007;0
2011;22;940;940;0
2011;23;1013;1013;0
2011;24;1004;1004;0
2011;25;964;964;0
2011;26;1036;1036;0
2011;27;983;983;0
2011;28;1037;1037;0
2011;29;952;952;0
2011;30;1005;1005;0
2011;31;939;939;0
2011;32;943;943;0
2011;33;950;950;0
2011;34;956;956;0
2011;35;965;965;0
2011;36;965;965;0
2011;37;966;966;0
2011;38;1045;1045;0
2011;39;989;989;0
2011;40;964;964;0
2011;41;989;989;0
2011;42;1016;1016;0
2011;43;1018;1018;0
2011;44;1071;1071;0
2011;45;1001;1001;0
2011;46;983;983;0
2011;47;1043;1043;0
2011;48;1141;1141;0
2011;49;1137;1137;0
2011;50;1145;1145;0
2011;51;1159;1159;0
2011;52;1157;1157;0
2012;1;1130;1130;0
2012;2;1115;1115;0
2012;3;1081;1081;0
2012;4;1169;1169;0
2012;5;1026;1026;0
2012;6;1143;1143;0
2012;7;1116;1116;0
2012;8;1138;1138;0
2012;9;1111;1111;0
2012;10;1026;1026;0
2012;11;1078;1078;0
2012;12;1064;1064;0
2012;13;1066;1066;0
2012;14;1079;1079;0
2012;15;1081;1081;0
2012;16;1096;1096;0
2012;17;1087;1087;0
2012;18;1042;1042;0
2012;19;1068;1068;0
2012;20;981;981;0
2012;21;981;981;0
2012;22;1003;1003;0
2012;23;1042;1042;0
2012;24;959;959;0
2012;25;1025;1025;0
2012;26;1033;1033;0
2012;27;967;967;0
2012;28;976;976;0
2012;29;984;984;0
2012;30;1000;1000;0
2012;31;965;965;0
2012;32;980;980;0
2012;33;923;923;0
2012;34;983;983;0
2012;35;971;971;0
2012;36;924;924;0
2012;37;1016;1016;0
2012;38;973;973;0
2012;39;994;994;0
2012;40;1025;1025;0
2012;41;1051;1051;0
2012;42;1025;1025;0
2012;43;1001;1001;0
2012;44;1027;1027;0
2012;45;1056;1056;0
2012;46;1010;1010;0
2012;47;996;996;0
2012;48;1024;1024;0
2012;49;1043;1043;0
2012;50;1067;1067;0
2012;51;1189;1189;0
2012;52;1234;1234;0
2013;1;1367;1367;0
2013;2;1250;1250;0
2013;3;1226;1226;0
2013;4;1212;1212;0
2013;5;1283;1283;0
2013;6;1292;1292;0
2013;7;1273;1273;0
2013;8;1181;1181;0
2013;9;1240;1240;0
2013;10;1156;1156;0
2013;11;1138;1138;0
2013;12;1148;1148;0
2013;13;1166;1166;0
2013;14;1133;1133;0
2013;15;1114;1114;0
2013;16;1062;1062;0
2013;17;1046;1046;0
2013;18;1031;1031;0
2013;19;1075;1075;0
2013;20;1011;1011;0
2013;21;1006;1006;0
2013;22;968;968;0
2013;23;999;999;0
2013;24;965;965;0
2013;25;974;974;0
2013;26;966;966;0
2013;27;1013;1013;0
2013;28;989;989;0
2013;29;950;950;0
2013;30;993;993;0
2013;31;950;950;0
2013;32;952;952;0
2013;33;919;919;0
2013;34;908;908;0
2013;35;891;891;0
2013;36;924;924;0
2013;37;965;965;0
2013;38;1056;1056;0
2013;39;959;959;0
2013;40;991;991;0
2013;41;979;979;0
2013;42;940;940;0
2013;43;949;949;0
2013;44;1022;1022;0
2013;45;921;921;0
2013;46;1054;1054;.608321
2013;47;961;961;1.88504
2013;48;957;957;2.132866
2013;49;1020;1020;1.140685
2013;50;1037;1037;.093567
2013;51;1076;1076;3.427642
2013;52;1030;1030;5.541571
